Data/Hora;MP10 BAM;MP2.5 BAM
01:00 3/1/2023;28.8;
02:00 3/1/2023;18.2;7.203
03:00 3/1/2023;18.7;7.593
04:00 3/1/2023;17.7;6.203
05:00 3/1/2023;15.5;7
06:00 3/1/2023;12.7;7.866
07:00 3/1/2023;;11.216
08:00 3/1/2023;14.4;12.65
09:00 3/1/2023;25.6;15.433
10:00 3/1/2023;;
11:00 3/1/2023;;
12:00 3/1/2023;56.3;15.35
13:00 3/1/2023;;
14:00 3/1/2023;;
15:00 3/1/2023;43.5;4.566
16:00 3/1/2023;40;4.083
17:00 3/1/2023;34.1;7.566
18:00 3/1/2023;24.6;5.783
19:00 3/1/2023;32.2;5.216
20:00 3/1/2023;19.1;5.35
21:00 3/1/2023;9.3;3.216
22:00 3/1/2023;13.8;4.866
23:00 3/1/2023;16.7;7.783
00:00 3/1/2023;11.8;6.35
01:00 3/2/2023;20.2;5.016
02:00 3/2/2023;14.4;8.35
03:00 3/2/2023;8;6.65
04:00 3/2/2023;;9
05:00 3/2/2023;;9
06:00 3/2/2023;10.4;8.566
07:00 3/2/2023;11.7;8.3
08:00 3/2/2023;17.8;12.35
09:00 3/2/2023;34.6;9.133
10:00 3/2/2023;29.7;6.216
11:00 3/2/2023;25.2;6.783
12:00 3/2/2023;26.4;5.566
13:00 3/2/2023;35;4
14:00 3/2/2023;35.8;5.3
15:00 3/2/2023;44.5;9.566
16:00 3/2/2023;48;8.433
17:00 3/2/2023;36.3;9.35
18:00 3/2/2023;38.5;7
19:00 3/2/2023;32.9;7.65
20:00 3/2/2023;19;8.7
21:00 3/2/2023;14.2;4
22:00 3/2/2023;12.5;5.083
23:00 3/2/2023;23.7;11.816
00:00 3/2/2023;11.9;16.8
01:00 3/3/2023;11.1;
02:00 3/3/2023;9.3;3.516
03:00 3/3/2023;10.9;8.566
04:00 3/3/2023;10.5;6.566
05:00 3/3/2023;10;4.566
06:00 3/3/2023;11.4;3.65
07:00 3/3/2023;9.8;5.566
08:00 3/3/2023;11.1;3.35
09:00 3/3/2023;17.8;0.783
10:00 3/3/2023;23.6;
11:00 3/3/2023;30.1;
12:00 3/3/2023;35.6;1.61
13:00 3/3/2023;40.6;
14:00 3/3/2023;36.1;
15:00 3/3/2023;41.2;
16:00 3/3/2023;37.4;
17:00 3/3/2023;43;
18:00 3/3/2023;43;
19:00 3/3/2023;31;
20:00 3/3/2023;18.2;
21:00 3/3/2023;17.1;
22:00 3/3/2023;20.9;
23:00 3/3/2023;22;
00:00 3/3/2023;22;
01:00 3/4/2023;15.4;
02:00 3/4/2023;15.1;
03:00 3/4/2023;13;
04:00 3/4/2023;9.8;
05:00 3/4/2023;8.2;
06:00 3/4/2023;5.7;
07:00 3/4/2023;5;
08:00 3/4/2023;10.1;
09:00 3/4/2023;19.4;
10:00 3/4/2023;29.4;
11:00 3/4/2023;27.5;
12:00 3/4/2023;40.9;
13:00 3/4/2023;54.9;
14:00 3/4/2023;45.3;
15:00 3/4/2023;34.2;
16:00 3/4/2023;33.4;
17:00 3/4/2023;26.5;
18:00 3/4/2023;26.9;
19:00 3/4/2023;26.5;
20:00 3/4/2023;12.5;
21:00 3/4/2023;10.2;
22:00 3/4/2023;15.4;
23:00 3/4/2023;10.2;
00:00 3/4/2023;8.7;
01:00 3/5/2023;7.5;
02:00 3/5/2023;4.8;
03:00 3/5/2023;10.7;
04:00 3/5/2023;10;
05:00 3/5/2023;7.5;
06:00 3/5/2023;6.2;
07:00 3/5/2023;6.7;
08:00 3/5/2023;12.2;
09:00 3/5/2023;11;
10:00 3/5/2023;18.2;
11:00 3/5/2023;21.7;
12:00 3/5/2023;24.2;
13:00 3/5/2023;17.5;
14:00 3/5/2023;43.3;
15:00 3/5/2023;50.7;
16:00 3/5/2023;49.2;
17:00 3/5/2023;54.2;
18:00 3/5/2023;34.3;
19:00 3/5/2023;15.8;
20:00 3/5/2023;11.2;
21:00 3/5/2023;11.7;
22:00 3/5/2023;12;
23:00 3/5/2023;14.2;
00:00 3/5/2023;3.8;
01:00 3/6/2023;5.9;
02:00 3/6/2023;5.8;
03:00 3/6/2023;3.5;
04:00 3/6/2023;6.7;
05:00 3/6/2023;6.5;
06:00 3/6/2023;5.2;
07:00 3/6/2023;4.2;
08:00 3/6/2023;4.7;
09:00 3/6/2023;15.4;
10:00 3/6/2023;11.5;
11:00 3/6/2023;14.9;
12:00 3/6/2023;19.9;
13:00 3/6/2023;47.1;
14:00 3/6/2023;50.7;
15:00 3/6/2023;37.8;
16:00 3/6/2023;38.4;
17:00 3/6/2023;40.7;3.783
18:00 3/6/2023;25.3;2.783
19:00 3/6/2023;11;1.133
20:00 3/6/2023;7.2;
21:00 3/6/2023;11.4;3.216
22:00 3/6/2023;16.7;3.783
23:00 3/6/2023;17.2;4.083
00:00 3/6/2023;17;7.566
01:00 3/7/2023;20.7;5.796
02:00 3/7/2023;14.6;4.35
03:00 3/7/2023;10.5;2
04:00 3/7/2023;11.4;3.083
05:00 3/7/2023;11.2;7
06:00 3/7/2023;13.2;6.35
07:00 3/7/2023;16.9;3.566
08:00 3/7/2023;11.4;2.65
09:00 3/7/2023;11.9;5.433
10:00 3/7/2023;10.8;7.216
11:00 3/7/2023;18;8.65
12:00 3/7/2023;21;9.916
13:00 3/7/2023;21;5.35
14:00 3/7/2023;28.3;4.516
15:00 3/7/2023;42;10
16:00 3/7/2023;32;9.35
17:00 3/7/2023;25.5;8.083
18:00 3/7/2023;45.5;10.916
19:00 3/7/2023;30.2;6.783
20:00 3/7/2023;26.4;6.216
21:00 3/7/2023;29.4;8.083
22:00 3/7/2023;36.6;12.433
23:00 3/7/2023;28;16.166
00:00 3/7/2023;29.8;19.883
01:00 3/8/2023;21;4.796
02:00 3/8/2023;15.5;4.216
03:00 3/8/2023;14.2;5.61
04:00 3/8/2023;14;7.786
05:00 3/8/2023;;8.083
06:00 3/8/2023;;11.133
07:00 3/8/2023;;7.566
08:00 3/8/2023;;6.866
09:00 3/8/2023;;9.35
10:00 3/8/2023;;8.95
11:00 3/8/2023;;14.483
12:00 3/8/2023;;11.166
13:00 3/8/2023;;17.483
14:00 3/8/2023;;11.35
15:00 3/8/2023;;8.566
16:00 3/8/2023;;6.783
17:00 3/8/2023;31.9;5.566
18:00 3/8/2023;31.3;4.216
19:00 3/8/2023;26.6;5.216
20:00 3/8/2023;34;6
21:00 3/8/2023;29.5;6.65
22:00 3/8/2023;29;11.816
23:00 3/8/2023;18.8;18.316
00:00 3/8/2023;12.3;4.783
01:00 3/9/2023;15.3;4.61
02:00 3/9/2023;17.6;6.796
03:00 3/9/2023;;6.61
04:00 3/9/2023;;8.796
05:00 3/9/2023;;7.593
06:00 3/9/2023;;5.593
07:00 3/9/2023;;4
08:00 3/9/2023;;4.61
09:00 3/9/2023;;6.796
10:00 3/9/2023;;6
11:00 3/9/2023;;7.491
12:00 3/9/2023;61.7;12.783
13:00 3/9/2023;51.8;10.916
14:00 3/9/2023;51.2;7
15:00 3/9/2023;39.8;7
16:00 3/9/2023;32.9;6.389
17:00 3/9/2023;31.2;4.61
18:00 3/9/2023;34;7.033
19:00 3/9/2023;47.8;8.966
20:00 3/9/2023;35.3;6.966
21:00 3/9/2023;22.4;4.8
22:00 3/9/2023;25.3;
23:00 3/9/2023;23.9;12.933
00:00 3/9/2023;19.9;10.933
01:00 3/10/2023;17.4;9
02:00 3/10/2023;19.2;9
03:00 3/10/2023;17.7;8.95
04:00 3/10/2023;15.4;5.95
05:00 3/10/2023;12.7;3
