iter	RMSE
0	5.076681462
1	5.07668141
2	4.935326909
3	4.935326368
4	4.913480888
5	4.850901747
6	4.745831966
7	4.745825757
8	4.732441713
9	4.710396459
10	4.696036119
11	4.663874387
12	4.590767316
13	4.590767315
14	4.560057817
15	4.553610501
16	4.504794392
17	4.504794315
18	4.493453855
19	4.493453838
20	4.488278971
21	4.472733157
22	4.433317397
23	4.431793874
24	4.377990515
25	4.377990137
26	4.375917364
27	4.375917287
28	4.371825161
29	4.339352302
30	4.336437073
31	4.306903154
32	4.306902162
33	4.306901489
34	4.285842147
35	4.236469571
36	4.224337524
37	4.159466676
38	4.152652001
39	4.138670795
40	4.13534503
41	4.088680519
42	4.063041941
43	4.063035592
44	4.057245467
45	4.038478431
46	4.038470001
47	4.033115994
48	3.973719602
49	3.954320029
50	3.953017544
51	3.936622544
52	3.889515672
53	3.864369039
54	3.864360283
55	3.864354341
56	3.862396486
57	3.855804992
58	3.846960823
59	3.846960489
60	3.791979461
61	3.791087223
