iter	Passed	Remaining
0	133	8149
1	133	4011
2	155	3067
3	156	2263
4	156	1780
5	156	1460
6	180	1417
7	180	1218
8	180	1064
9	180	940
10	181	839
11	181	755
12	205	775
13	205	705
14	205	645
15	206	592
16	206	547
17	206	505
18	207	468
19	207	435
20	207	404
21	207	377
22	209	355
23	209	331
24	234	346
25	234	324
26	234	304
27	234	285
28	235	267
29	235	251
30	236	236
31	236	221
32	236	207
33	236	194
34	236	182
35	237	171
36	238	160
37	263	166
38	263	155
39	264	145
40	264	135
41	264	126
42	265	117
43	265	108
44	265	100
45	265	92
46	266	84
47	266	77
48	277	73
49	277	66
50	277	59
51	278	53
52	279	47
53	279	41
54	279	35
55	280	30
56	280	24
57	280	19
58	280	14
59	280	9
60	303	4
61	303	0
