Data/Hora;MP10;MP2,5;Umidade;Temperatura
01:00 9/4/2023;;4;77,33;23,16
02:00 9/4/2023;7;1;77,87;23,07
03:00 9/4/2023;7;6;79,13;22,82
04:00 9/4/2023;7;5;80,33;22,71
05:00 9/4/2023;10;1;80,34;22,75
06:00 9/4/2023;11;4;78,95;23,04
07:00 9/4/2023;6;4;80,21;22,99
08:00 9/4/2023;20;1;78,72;23,58
09:00 9/4/2023;16;0;74,75;24,7
10:00 9/4/2023;12;8;71,23;25,68
11:00 9/4/2023;24;9;67,34;26,76
12:00 9/4/2023;17;8;68,05;26,82
13:00 9/4/2023;24;8;71,56;26,23
14:00 9/4/2023;22;6;69,68;26,8
15:00 9/4/2023;36;7;70,68;26,46
16:00 9/4/2023;17;;72,89;25,94
17:00 9/4/2023;;;77,58;24,78
18:00 9/4/2023;;;77,59;24,5
19:00 9/4/2023;;;77,07;24,46
20:00 9/4/2023;;;74,26;24,55
21:00 9/4/2023;;;75,29;24,07
22:00 9/4/2023;;;77,61;23,61
23:00 9/4/2023;;;80,07;23,47
00:00 9/5/2023;;;81,41;23,38
01:00 9/5/2023;;;80,86;23,4
02:00 9/5/2023;;;79,22;23,84
03:00 9/5/2023;;;80,47;23,72
04:00 9/5/2023;;;82,37;23,43
05:00 9/5/2023;;;82,48;23,22
06:00 9/5/2023;;;81,92;23,23
07:00 9/5/2023;;;79,87;23,54
08:00 9/5/2023;;;68,63;25,88
09:00 9/5/2023;;;59,08;28,27
10:00 9/5/2023;;;57,34;28,56
11:00 9/5/2023;;;57,68;28,69
12:00 9/5/2023;;;56,01;29,42
13:00 9/5/2023;;;52,82;30,28
14:00 9/5/2023;;;50,63;30,93
15:00 9/5/2023;;;51,42;30,89
16:00 9/5/2023;;;70,5;27,39
17:00 9/5/2023;;;74,3;26,25
18:00 9/5/2023;;;78,01;25,41
19:00 9/5/2023;;;78,22;25,04
20:00 9/5/2023;;;79,45;24,92
21:00 9/5/2023;;;78,15;25,23
